,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Mumbai Indians,Sunrisers Hyderabad,0.1,RG Sharma,Q de Kock,B Kumar,0,4,4,,,,
1,1st innings,Mumbai Indians,Sunrisers Hyderabad,0.2,RG Sharma,Q de Kock,B Kumar,0,0,0,,,,
2,1st innings,Mumbai Indians,Sunrisers Hyderabad,0.3,RG Sharma,Q de Kock,B Kumar,0,0,0,,,,
3,1st innings,Mumbai Indians,Sunrisers Hyderabad,0.4,RG Sharma,Q de Kock,B Kumar,0,0,0,,,,
4,1st innings,Mumbai Indians,Sunrisers Hyderabad,0.5,RG Sharma,Q de Kock,B Kumar,0,4,4,,,,
5,1st innings,Mumbai Indians,Sunrisers Hyderabad,0.6,RG Sharma,Q de Kock,B Kumar,0,0,0,,,,
6,1st innings,Mumbai Indians,Sunrisers Hyderabad,1.1,Q de Kock,RG Sharma,KK Ahmed,0,1,1,,,,
7,1st innings,Mumbai Indians,Sunrisers Hyderabad,1.2,RG Sharma,Q de Kock,KK Ahmed,1,1,2,noballs,,,
8,1st innings,Mumbai Indians,Sunrisers Hyderabad,1.3,Q de Kock,RG Sharma,KK Ahmed,4,0,4,legbyes,,,
9,1st innings,Mumbai Indians,Sunrisers Hyderabad,1.4,Q de Kock,RG Sharma,KK Ahmed,0,0,0,,,,
10,1st innings,Mumbai Indians,Sunrisers Hyderabad,1.5,Q de Kock,RG Sharma,KK Ahmed,0,0,0,,,,
11,1st innings,Mumbai Indians,Sunrisers Hyderabad,1.6,Q de Kock,RG Sharma,KK Ahmed,0,1,1,,,,
12,1st innings,Mumbai Indians,Sunrisers Hyderabad,1.7,RG Sharma,Q de Kock,KK Ahmed,0,0,0,,,,
13,1st innings,Mumbai Indians,Sunrisers Hyderabad,2.1,Q de Kock,RG Sharma,Mujeeb Ur Rahman,0,1,1,,,,
14,1st innings,Mumbai Indians,Sunrisers Hyderabad,2.2,RG Sharma,Q de Kock,Mujeeb Ur Rahman,0,0,0,,,,
15,1st innings,Mumbai Indians,Sunrisers Hyderabad,2.3,RG Sharma,Q de Kock,Mujeeb Ur Rahman,0,1,1,,,,
16,1st innings,Mumbai Indians,Sunrisers Hyderabad,2.4,Q de Kock,RG Sharma,Mujeeb Ur Rahman,0,4,4,,,,
17,1st innings,Mumbai Indians,Sunrisers Hyderabad,2.5,Q de Kock,RG Sharma,Mujeeb Ur Rahman,0,6,6,,,,
18,1st innings,Mumbai Indians,Sunrisers Hyderabad,2.6,Q de Kock,RG Sharma,Mujeeb Ur Rahman,0,1,1,,,,
19,1st innings,Mumbai Indians,Sunrisers Hyderabad,3.1,Q de Kock,RG Sharma,B Kumar,0,0,0,,,,
20,1st innings,Mumbai Indians,Sunrisers Hyderabad,3.2,Q de Kock,RG Sharma,B Kumar,0,1,1,,,,
21,1st innings,Mumbai Indians,Sunrisers Hyderabad,3.3,RG Sharma,Q de Kock,B Kumar,0,1,1,,,,
22,1st innings,Mumbai Indians,Sunrisers Hyderabad,3.4,Q de Kock,RG Sharma,B Kumar,0,0,0,,,,
23,1st innings,Mumbai Indians,Sunrisers Hyderabad,3.5,Q de Kock,RG Sharma,B Kumar,0,6,6,,,,
24,1st innings,Mumbai Indians,Sunrisers Hyderabad,3.6,Q de Kock,RG Sharma,B Kumar,0,1,1,,,,
25,1st innings,Mumbai Indians,Sunrisers Hyderabad,4.1,Q de Kock,RG Sharma,KK Ahmed,0,0,0,,,,
