,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Mumbai Indians,Delhi Capitals,0.1,Q de Kock,RG Sharma,A Nortje,0,4,4,,,,
1,1st innings,Mumbai Indians,Delhi Capitals,0.2,Q de Kock,RG Sharma,A Nortje,0,0,0,,,,
2,1st innings,Mumbai Indians,Delhi Capitals,0.3,Q de Kock,RG Sharma,A Nortje,0,0,0,,,,
3,1st innings,Mumbai Indians,Delhi Capitals,0.4,Q de Kock,RG Sharma,A Nortje,0,2,2,,,,
4,1st innings,Mumbai Indians,Delhi Capitals,0.5,Q de Kock,RG Sharma,A Nortje,0,1,1,,,,
5,1st innings,Mumbai Indians,Delhi Capitals,0.6,RG Sharma,Q de Kock,A Nortje,0,0,0,,,,
6,1st innings,Mumbai Indians,Delhi Capitals,1.1,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,,,
7,1st innings,Mumbai Indians,Delhi Capitals,1.2,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,,,
8,1st innings,Mumbai Indians,Delhi Capitals,1.3,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,,,
9,1st innings,Mumbai Indians,Delhi Capitals,1.4,Q de Kock,RG Sharma,Avesh Khan,1,0,1,wides,,,
10,1st innings,Mumbai Indians,Delhi Capitals,1.5,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,,,
11,1st innings,Mumbai Indians,Delhi Capitals,1.6,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,RG Sharma,caught,K Rabada
12,1st innings,Mumbai Indians,Delhi Capitals,1.7,SA Yadav,Q de Kock,Avesh Khan,0,4,4,,,,
13,1st innings,Mumbai Indians,Delhi Capitals,2.1,Q de Kock,SA Yadav,R Ashwin,0,1,1,,,,
14,1st innings,Mumbai Indians,Delhi Capitals,2.2,SA Yadav,Q de Kock,R Ashwin,0,1,1,,,,
15,1st innings,Mumbai Indians,Delhi Capitals,2.3,Q de Kock,SA Yadav,R Ashwin,0,0,0,,,,
16,1st innings,Mumbai Indians,Delhi Capitals,2.4,Q de Kock,SA Yadav,R Ashwin,0,6,6,,,,
17,1st innings,Mumbai Indians,Delhi Capitals,2.5,Q de Kock,SA Yadav,R Ashwin,0,1,1,,,,
18,1st innings,Mumbai Indians,Delhi Capitals,2.6,SA Yadav,Q de Kock,R Ashwin,0,0,0,,,,
19,1st innings,Mumbai Indians,Delhi Capitals,3.1,Q de Kock,SA Yadav,Avesh Khan,0,0,0,,,,
20,1st innings,Mumbai Indians,Delhi Capitals,3.2,Q de Kock,SA Yadav,Avesh Khan,0,0,0,,,,
21,1st innings,Mumbai Indians,Delhi Capitals,3.3,Q de Kock,SA Yadav,Avesh Khan,0,0,0,,,,
22,1st innings,Mumbai Indians,Delhi Capitals,3.4,Q de Kock,SA Yadav,Avesh Khan,0,1,1,,,,
