,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.1,YBK Jaiswal,E Lewis,Sandeep Sharma,0,1,1,,,,
1,1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.2,E Lewis,YBK Jaiswal,Sandeep Sharma,0,1,1,,,,
2,1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.3,YBK Jaiswal,E Lewis,Sandeep Sharma,0,4,4,,,,
3,1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.4,YBK Jaiswal,E Lewis,Sandeep Sharma,0,1,1,,,,
4,1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.5,E Lewis,YBK Jaiswal,Sandeep Sharma,0,0,0,,,,
5,1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.6,E Lewis,YBK Jaiswal,Sandeep Sharma,0,4,4,,,,
6,1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.1,YBK Jaiswal,E Lewis,B Kumar,0,0,0,,E Lewis,caught,Abdul Samad
7,1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.2,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,
8,1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.3,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,
9,1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.4,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,
10,1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.5,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,
11,1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.6,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,
12,1st innings,Rajasthan Royals,Sunrisers Hyderabad,2.1,SV Samson,YBK Jaiswal,Sandeep Sharma,0,1,1,,,,
13,1st innings,Rajasthan Royals,Sunrisers Hyderabad,2.2,YBK Jaiswal,SV Samson,Sandeep Sharma,0,1,1,,,,
14,1st innings,Rajasthan Royals,Sunrisers Hyderabad,2.3,SV Samson,YBK Jaiswal,Sandeep Sharma,0,4,4,,,,
15,1st innings,Rajasthan Royals,Sunrisers Hyderabad,2.4,SV Samson,YBK Jaiswal,Sandeep Sharma,0,0,0,,,,
